state,date,admission,maskwearing,delphi_samplesize,maskwearing_stderr,symptom,symptoms_stderr
co,2021-05-06,120.5714286,0.7413429,3644.8995,0.1541914,0.7413429,0.1541914
ct,2021-05-06,60.1428571,0.7010683,2764,0.2011125,0.7010683,0.2011125
dc,2021-05-06,11.8571429,0.3037246,311,0.3450854,0.3037246,0.3450854
de,2021-05-06,14,1.0149128,780,0.5906472,1.0149128,0.5906472
fl,2021-05-06,453.8571429,0.8599667,12474.9993,0.0942104,0.8599667,0.0942104
ga,2021-05-06,189,0.7855786,4516.9603,0.2082389,0.7855786,0.2082389
hi,2021-05-06,7.2857143,0.4949502,841,0.3105655,0.4949502,0.3105655
ia,2021-05-06,32.7142857,0.6527392,2588.6787,0.1694662,0.6527392,0.1694662
id,2021-05-06,13,0.5918566,1267.5858,0.2140142,0.5918566,0.2140142
il,2021-05-06,236.7142857,0.9248284,7890.0228,0.1399698,0.9248284,0.1399698
in,2021-05-06,101.5714286,1.2399516,4186.0002,0.1978257,1.2399516,0.1978257
ks,2021-05-06,24.5714286,0.6719695,1972.0866,0.1841299,0.6719695,0.1841299
ky,2021-05-06,119.4285714,1.2270797,2709.762,0.2407588,1.2270797,0.2407588
la,2021-05-06,49.5714286,1.3745328,2362.9993,0.3136743,1.3745328,0.3136743
ma,2021-05-06,65.8571429,0.6131341,3724.0115,0.1901154,0.6131341,0.1901154
md,2021-05-06,108.5714286,0.9147934,3107.9987,0.2213847,0.9147934,0.2213847
me,2021-05-06,14.8571429,0.4564228,1496.2234,0.1603318,0.4564228,0.1603318
mi,2021-05-06,318.2857143,1.1566044,9228.9938,0.140362,1.1566044,0.140362
mn,2021-05-06,78,0.6924577,3346.0424,0.1422482,0.6924577,0.1422482
mo,2021-05-06,65.8571429,0.6492955,3457.6335,0.1757784,0.6492955,0.1757784
ms,2021-05-06,26.7142857,0.6090615,1608.395,0.2113907,0.6090615,0.2113907
mt,2021-05-06,16.4285714,1.0826464,928.116,0.3845803,1.0826464,0.3845803
nc,2021-05-06,110,0.8736443,5848.0068,0.1263764,0.8736443,0.1263764
nd,2021-05-06,9.2857143,1.6872248,501.0084,0.7771051,1.6872248,0.7771051
ne,2021-05-06,13.1428571,0.6225735,1370.3062,0.2062979,0.6225735,0.2062979
nh,2021-05-06,12.2857143,0.663228,1259.7766,0.2647664,0.663228,0.2647664
nj,2021-05-06,149.1428571,0.8325518,4575.9988,0.1426741,0.8325518,0.1426741
nm,2021-05-06,23.4285714,0.7555396,1781.0036,0.2559323,0.7555396,0.2559323
nv,2021-05-06,39.1428571,0.6486573,1408.5283,0.2460942,0.6486573,0.2460942
ny,2021-05-06,267,0.5664553,9565.0005,0.0755237,0.5664553,0.0755237
oh,2021-05-06,179.2857143,1.0953839,7442.001,0.2079293,1.0953839,0.2079293
ok,2021-05-06,31.1428571,1.0011384,2373.999,0.2605059,1.0011384,0.2605059
or,2021-05-06,39,1.0678249,3361.4549,0.2507655,1.0678249,0.2507655
pa,2021-05-06,251.2857143,0.9886611,8355.003,0.1435843,0.9886611,0.1435843
pr,2021-05-06,23.2857143,,,,,
ri,2021-05-06,7.7142857,0.4409453,789.9885,0.2446878,0.4409453,0.2446878
sc,2021-05-06,41.1428571,1.5050713,3496.004,0.3344707,1.5050713,0.3344707
sd,2021-05-06,10.2857143,1.7286809,705.6205,0.4592045,1.7286809,0.4592045
tn,2021-05-06,81.7142857,1.5352967,4021.2205,0.2776231,1.5352967,0.2776231
tx,2021-05-06,327.1428571,0.957576,12114.025,0.1043224,0.957576,0.1043224
ut,2021-05-06,24.2857143,0.6655288,1675.2552,0.2088762,0.6655288,0.2088762
va,2021-05-06,83.4285714,0.6690475,5533.2985,0.1193797,0.6690475,0.1193797
vi,2021-05-06,0.2857143,,,,,
vt,2021-05-06,3.1428571,0.3608155,682.0005,0.1901682,0.3608155,0.1901682
wa,2021-05-06,70,0.5850322,5432.9726,0.1153945,0.5850322,0.1153945
wi,2021-05-06,87.2857143,0.7495929,3947.0052,0.1393347,0.7495929,0.1393347
wv,2021-05-06,35.7142857,1.1478798,1554.005,0.2993476,1.1478798,0.2993476
wy,2021-05-06,5.4285714,1.0438021,413.7852,0.4534407,1.0438021,0.4534407
ak,2021-05-07,4.7142857,0.784146,557,0.3701648,0.784146,0.3701648
