,geo_value,signal,time_value,issue,lag,value,stderr,sample_size,geo_type,data_source
167,ma,smoothed_wdepressed_7d,2021-03-05,2021-03-17,12,12.6577941,0.7017495,2245.0085,state,fb-survey
168,md,smoothed_wdepressed_7d,2021-03-05,2021-03-17,12,12.1272592,0.7343702,1975.9991,state,fb-survey
169,me,smoothed_wdepressed_7d,2021-03-05,2021-03-17,12,14.8765236,1.1718104,922.2234,state,fb-survey
170,mi,smoothed_wdepressed_7d,2021-03-05,2021-03-17,12,14.9188293,0.4921731,5240.0138,state,fb-survey
171,mn,smoothed_wdepressed_7d,2021-03-05,2021-03-17,12,12.5433223,0.7222696,2102.843,state,fb-survey
172,mo,smoothed_wdepressed_7d,2021-03-05,2021-03-17,12,12.5491201,0.680387,2370.6389,state,fb-survey
173,ms,smoothed_wdepressed_7d,2021-03-05,2021-03-17,12,12.2906725,0.9557772,1180.0709,state,fb-survey
174,mt,smoothed_wdepressed_7d,2021-03-05,2021-03-17,12,9.9463733,1.1842955,638.6248,state,fb-survey
175,nc,smoothed_wdepressed_7d,2021-03-05,2021-03-17,12,11.8062907,0.514926,3927.0053,state,fb-survey
176,nd,smoothed_wdepressed_7d,2021-03-05,2021-03-17,12,9.3466569,1.586899,336.4663,state,fb-survey
177,ne,smoothed_wdepressed_7d,2021-03-05,2021-03-17,12,11.4137961,1.1187441,807.8573,state,fb-survey
178,nh,smoothed_wdepressed_7d,2021-03-05,2021-03-17,12,12.1497091,1.1020855,878.7766,state,fb-survey
179,nj,smoothed_wdepressed_7d,2021-03-05,2021-03-17,12,10.83091,0.5956562,2721.9986,state,fb-survey
180,nm,smoothed_wdepressed_7d,2021-03-05,2021-03-17,12,14.1732475,0.9428099,1368.4968,state,fb-survey
181,nv,smoothed_wdepressed_7d,2021-03-05,2021-03-17,12,13.8594033,1.0814286,1020.8378,state,fb-survey
182,ny,smoothed_wdepressed_7d,2021-03-05,2021-03-17,12,12.7555311,0.428107,6072.0011,state,fb-survey
183,oh,smoothed_wdepressed_7d,2021-03-05,2021-03-17,12,14.283,0.5075805,4752.0017,state,fb-survey
184,ok,smoothed_wdepressed_7d,2021-03-05,2021-03-17,12,13.5425463,0.8022719,1819.1125,state,fb-survey
185,or,smoothed_wdepressed_7d,2021-03-05,2021-03-17,12,17.6678103,0.8558232,1986.0232,state,fb-survey
186,pa,smoothed_wdepressed_7d,2021-03-05,2021-03-17,12,13.308793,0.4638236,5363.0032,state,fb-survey
187,ri,smoothed_wdepressed_7d,2021-03-05,2021-03-17,12,9.3396415,1.2860044,511.9915,state,fb-survey
188,sc,smoothed_wdepressed_7d,2021-03-05,2021-03-17,12,11.9144919,0.6592214,2415.0012,state,fb-survey
189,sd,smoothed_wdepressed_7d,2021-03-05,2021-03-17,12,11.5138078,1.5143729,444.2514,state,fb-survey
190,tn,smoothed_wdepressed_7d,2021-03-05,2021-03-17,12,14.0437054,0.6912104,2526.6137,state,fb-survey
191,tx,smoothed_wdepressed_7d,2021-03-05,2021-03-17,12,11.7180051,0.3392399,8989.0135,state,fb-survey
192,ut,smoothed_wdepressed_7d,2021-03-05,2021-03-17,12,14.4596921,1.0207787,1187.0435,state,fb-survey
193,va,smoothed_wdepressed_7d,2021-03-05,2021-03-17,12,11.7113727,0.5320981,3651.9863,state,fb-survey
194,vt,smoothed_wdepressed_7d,2021-03-05,2021-03-17,12,18.0488209,1.8856231,416.0009,state,fb-survey
195,wa,smoothed_wdepressed_7d,2021-03-05,2021-03-17,12,14.9342422,0.6241589,3260.9758,state,fb-survey
196,wi,smoothed_wdepressed_7d,2021-03-05,2021-03-17,12,13.4503446,0.6833442,2492.9851,state,fb-survey
197,wv,smoothed_wdepressed_7d,2021-03-05,2021-03-17,12,14.532233,1.1050849,1017.0527,state,fb-survey
198,wy,smoothed_wdepressed_7d,2021-03-05,2021-03-17,12,13.9472804,1.9903402,302.9699,state,fb-survey
199,ak,smoothed_wdepressed_7d,2021-03-06,2021-03-17,11,13.8830165,1.5162983,520.0,state,fb-survey
200,al,smoothed_wdepressed_7d,2021-03-06,2021-03-17,11,14.254879,0.742669,2216.0641,state,fb-survey
201,ar,smoothed_wdepressed_7d,2021-03-06,2021-03-17,11,15.8968278,0.9531904,1471.5112,state,fb-survey
202,az,smoothed_wdepressed_7d,2021-03-06,2021-03-17,11,11.3586396,0.5742446,3053.2964,state,fb-survey
203,ca,smoothed_wdepressed_7d,2021-03-06,2021-03-17,11,12.0909108,0.283243,13248.7392,state,fb-survey
204,co,smoothed_wdepressed_7d,2021-03-06,2021-03-17,11,12.4854566,0.6071705,2963.8989,state,fb-survey
205,ct,smoothed_wdepressed_7d,2021-03-06,2021-03-17,11,8.4791775,0.5712562,2378.0,state,fb-survey
206,dc,smoothed_wdepressed_7d,2021-03-06,2021-03-17,11,11.9811301,2.0456744,252.0,state,fb-survey
207,de,smoothed_wdepressed_7d,2021-03-06,2021-03-17,11,13.6988302,1.2743373,728.0,state,fb-survey
208,fl,smoothed_wdepressed_7d,2021-03-06,2021-03-17,11,11.7927822,0.3191417,10213.0008,state,fb-survey
209,ga,smoothed_wdepressed_7d,2021-03-06,2021-03-17,11,10.859618,0.511708,3696.9586,state,fb-survey
210,hi,smoothed_wdepressed_7d,2021-03-06,2021-03-17,11,10.1497127,1.2659906,569.0,state,fb-survey
211,ia,smoothed_wdepressed_7d,2021-03-06,2021-03-17,11,12.0806234,0.7058723,2131.6786,state,fb-survey
212,id,smoothed_wdepressed_7d,2021-03-06,2021-03-17,11,14.0390966,1.0270013,1144.1899,state,fb-survey
213,il,smoothed_wdepressed_7d,2021-03-06,2021-03-17,11,11.8354205,0.4059462,6332.0003,state,fb-survey
214,in,smoothed_wdepressed_7d,2021-03-06,2021-03-17,11,13.7507185,0.5782423,3546.9995,state,fb-survey
215,ks,smoothed_wdepressed_7d,2021-03-06,2021-03-17,11,12.5262514,0.8073705,1680.9436,state,fb-survey
216,ky,smoothed_wdepressed_7d,2021-03-06,2021-03-17,11,15.5588203,0.7605382,2271.3751,state,fb-survey
217,la,smoothed_wdepressed_7d,2021-03-06,2021-03-17,11,13.7513621,0.7486713,2115.9995,state,fb-survey
218,ma,smoothed_wdepressed_7d,2021-03-06,2021-03-17,11,12.3714302,0.6132107,2883.0105,state,fb-survey
