,geo_value,signal,time_value,issue,lag,value,stderr,sample_size,geo_type,data_source
135,nv,smoothed_wearing_mask,2021-01-03,2021-01-08,5,94.628215,0.4842521,2167.6851,state,fb-survey
136,ny,smoothed_wearing_mask,2021-01-03,2021-01-08,5,96.719124,0.1473555,14614.0024,state,fb-survey
137,oh,smoothed_wearing_mask,2021-01-03,2021-01-08,5,93.8882494,0.2176339,12115.0065,state,fb-survey
138,ok,smoothed_wearing_mask,2021-01-03,2021-01-08,5,88.0931165,0.4871011,4420.8103,state,fb-survey
139,or,smoothed_wearing_mask,2021-01-03,2021-01-08,5,93.9545373,0.35437,4523.0706,state,fb-survey
140,pa,smoothed_wearing_mask,2021-01-03,2021-01-08,5,93.6920148,0.212007,13149.0071,state,fb-survey
141,ri,smoothed_wearing_mask,2021-01-03,2021-01-08,5,96.6751306,0.5203814,1186.9865,state,fb-survey
142,sc,smoothed_wearing_mask,2021-01-03,2021-01-08,5,91.0670197,0.3660267,6072.0034,state,fb-survey
143,sd,smoothed_wearing_mask,2021-01-03,2021-01-08,5,81.2190644,1.2124689,1037.6096,state,fb-survey
144,tn,smoothed_wearing_mask,2021-01-03,2021-01-08,5,89.9394313,0.3663113,6743.2917,state,fb-survey
145,tx,smoothed_wearing_mask,2021-01-03,2021-01-08,5,92.8321149,0.1803473,20458.3123,state,fb-survey
146,ut,smoothed_wearing_mask,2021-01-03,2021-01-08,5,92.4088387,0.4892855,2930.1984,state,fb-survey
147,va,smoothed_wearing_mask,2021-01-03,2021-01-08,5,95.0371302,0.2383654,8301.1763,state,fb-survey
148,vt,smoothed_wearing_mask,2021-01-03,2021-01-08,5,96.9772105,0.5392723,1008.0018,state,fb-survey
149,wa,smoothed_wearing_mask,2021-01-03,2021-01-08,5,96.0281289,0.2260539,7463.9654,state,fb-survey
150,wi,smoothed_wearing_mask,2021-01-03,2021-01-08,5,91.3948069,0.3714869,5698.9523,state,fb-survey
151,wv,smoothed_wearing_mask,2021-01-03,2021-01-08,5,93.0527472,0.4989099,2597.1565,state,fb-survey
152,wy,smoothed_wearing_mask,2021-01-03,2021-01-08,5,77.0838573,1.5698989,716.7399,state,fb-survey
153,ak,smoothed_wearing_mask,2021-01-04,2021-01-09,5,88.6690647,1.0982379,833.0,state,fb-survey
154,al,smoothed_wearing_mask,2021-01-04,2021-01-09,5,90.5286078,0.4421396,4386.1238,state,fb-survey
155,ar,smoothed_wearing_mask,2021-01-04,2021-01-09,5,91.7421042,0.490016,3155.1321,state,fb-survey
156,az,smoothed_wearing_mask,2021-01-04,2021-01-09,5,93.0050813,0.3286043,6024.8027,state,fb-survey
157,ca,smoothed_wearing_mask,2021-01-04,2021-01-09,5,96.1483083,0.1172562,26935.2943,state,fb-survey
158,co,smoothed_wearing_mask,2021-01-04,2021-01-09,5,93.8814235,0.3237076,5481.8129,state,fb-survey
159,ct,smoothed_wearing_mask,2021-01-04,2021-01-09,5,96.9810891,0.2583065,4388.0,state,fb-survey
160,dc,smoothed_wearing_mask,2021-01-04,2021-01-09,5,98.2100239,0.6485051,418.0,state,fb-survey
161,de,smoothed_wearing_mask,2021-01-04,2021-01-09,5,96.4944649,0.4998262,1354.0,state,fb-survey
162,fl,smoothed_wearing_mask,2021-01-04,2021-01-09,5,90.2126381,0.2182992,18528.0022,state,fb-survey
163,ga,smoothed_wearing_mask,2021-01-04,2021-01-09,5,88.3961966,0.3878177,6819.9101,state,fb-survey
164,hi,smoothed_wearing_mask,2021-01-04,2021-01-09,5,96.62868,0.5564743,1052.0,state,fb-survey
165,ia,smoothed_wearing_mask,2021-01-04,2021-01-09,5,90.2229063,0.4738193,3929.172,state,fb-survey
166,id,smoothed_wearing_mask,2021-01-04,2021-01-09,5,83.7288264,0.8068929,2092.4839,state,fb-survey
167,il,smoothed_wearing_mask,2021-01-04,2021-01-09,5,94.5488635,0.2070365,12024.0209,state,fb-survey
168,in,smoothed_wearing_mask,2021-01-04,2021-01-09,5,91.9695354,0.333761,6629.9999,state,fb-survey
169,ks,smoothed_wearing_mask,2021-01-04,2021-01-09,5,90.7216907,0.515144,3171.9229,state,fb-survey
170,ky,smoothed_wearing_mask,2021-01-04,2021-01-09,5,93.2545639,0.3796281,4364.7904,state,fb-survey
171,la,smoothed_wearing_mask,2021-01-04,2021-01-09,5,89.4558636,0.469394,4280.996,state,fb-survey
